Avg. Area Income;Avg. Area House Age;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price;Address
7.954.545.857;5.68;9;13;230.868.005;105;208 Michael Ferry Apt. 674
Laurabury;" NE 37010-5101""";;;;;
7.924.864.245;6;8;10;4.017.307.217;1505;188 Johnson Views Suite 079
Lake Kathleen;" CA 48958""";;;;;
6.128.706.718;5.86;20;18;368.821.594;1058;9127 Elizabeth Stravenue
Danieltown;" WI 06482-3489""";;;;;
6.334.524.005;7.18;7;16;3.431.024.283;1260;USS Barnett
"FPO AP 44820""";;;;;;
5.998.219.723;5.04;17;2;2.635.410.947;6309;USNS Raymond
"FPO AE 09386""";;;;;;
8.017.575.416;4.98;1;9;2.674.842.842;1068;06039 Jennifer Islands Apt. 443
Tracyport;" KS 16077""";;;;;
6.469.846.343;6.02;20;10;6.082.824.909;1502;4759 Daniel Shoals Suite 442
Nguyenburgh;" CO 20247""";;;;;
7.839.433.928;6.98;13;11;3.651.635.897;1573;972 Joyce Viaduct
Lake William;" TN 17778-6483""";;;;;
5.992.766.081;5.36;6;12;29.387.396;7988;USS Gilbert
"FPO AA 20957""";;;;;;
8.188.592.718;4.42;4;17;4.014.996.575;1545;Unit 9446 Box 0958
"DPO AE 97025""";;;;;;
8.052.747.208;8.09;10;20;4.722.435.984;1707;6368 John Motorway Suite 700
Janetbury;" NM 26854""";;;;;
505.936.955;4.49;4;5;3.434.399.189;6637;911 Castillo Park Apt. 717
Davisborough;" PW 78603""";;;;;
3.903.380.924;7.67;15;18;3.922.036.147;1042;209 Natasha Stream Suite 961
Huffmanland;" NE 52457""";;;;;
7.316.366.344;6.91;1;8;3.232.612.314;1291;829 Welch Track Apt. 992
North John;" AR 26532-5136""";;;;;
6.939.138.018;5.34;5;9;3.552.129.403;1402;PSC 5330, Box 4420
"APO AP 08302""";;;;;;
7.309.186.675;5.44;20;17;2.392.952.405;1306;2278 Shannon View
North Carriemouth;" NM 84617""";;;;;
7.970.696.306;5.06;9;10;3.971.781.358;1556;064 Hayley Unions
Nicholsborough;" HI 44161-1887""";;;;;
6.192.907.702;4.78;2;20;245.959.015;5284;5498 Rachel Locks
New Gregoryshire;" PW 54755""";;;;;
635.081.943;5.94;9;13;3.571.965.305;1019;Unit 7424 Box 2786
"DPO AE 71255""";;;;;;
620.852.764;5.73;5;3;449.221.067;1030;19696 Benjamin Cape
Stephentown;" ME 36952-4733""";;;;;
8.629.499.909;6.62;12;4;4.756.077.534;2146;030 Larry Park Suite 665
Thomashaven;" HI 87941-5197""";;;;;
6.083.508.998;5.55;9;14;4.557.474.166;9292;USNS Brown
"FPO AP 85833""";;;;;;
6.449.065.027;4.21;1;2;4.035.896.011;7188;95198 Ortiz Key
Port Sara;" TN 24541-2855""";;;;;
6.069.735.154;6.17;13;12;2.814.096.709;7439;9003 Jay Plains Suite 838
Lake Elizabeth;" IN 90622-0804""";;;;;
5.974.885.549;5.33;6;18;2.780.998.654;8957;24282 Paul Valley
West Perry;" MI 03169-5806""";;;;;
5.697.447.654;8.28;8;19;4.069.486.951;1453;61938 Brady Falls
