Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,
79545.45857,5.68,9,13,23086.8005,105903,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101",
79248.64245,6,8,10,40173.07217,150589,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958",
61287.06718,5.86,20,18,36882.1594,105898,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489",
63345.24005,7.18,7,16,34310.24283,126061,"USS Barnett
FPO AP 44820",
59982.19723,5.04,17,2,26354.10947,630943,"USNS Raymond
FPO AE 09386",
80175.75416,4.98,1,9,26748.42842,106813,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077",
64698.46343,6.02,20,10,60828.24909,150205,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247",
78394.33928,6.98,13,11,36516.35897,157393,"972 Joyce Viaduct
Lake William, TN 17778-6483",
59927.66081,5.36,6,12,29387.396,798869,"USS Gilbert
FPO AA 20957",
81885.92718,4.42,4,17,40149.96575,154515,"Unit 9446 Box 0958
DPO AE 97025",
80527.47208,8.09,10,20,47224.35984,170704,"6368 John Motorway Suite 700
Janetbury, NM 26854",
50593.6955,4.49,4,5,34343.99189,663732,"911 Castillo Park Apt. 717
Davisborough, PW 78603",
39033.80924,7.67,15,18,39220.36147,104281,"209 Natasha Stream Suite 961
Huffmanland, NE 52457",
73163.66344,6.91,1,8,32326.12314,129133,"829 Welch Track Apt. 992
North John, AR 26532-5136",
69391.38018,5.34,5,9,35521.29403,140281,"PSC 5330, Box 4420
APO AP 08302",
73091.86675,5.44,20,17,23929.52405,130667,"2278 Shannon View
North Carriemouth, NM 84617",
79706.96306,5.06,9,10,39717.81358,155678,"064 Hayley Unions
Nicholsborough, HI 44161-1887",
61929.07702,4.78,2,20,24595.9015,528485,"5498 Rachel Locks
New Gregoryshire, PW 54755",
63508.1943,5.94,9,13,35719.65305,101942,"Unit 7424 Box 2786
DPO AE 71255",
62085.2764,5.73,5,3,44922.1067,103059,"19696 Benjamin Cape
Stephentown, ME 36952-4733",
86294.99909,6.62,12,4,47560.77534,214692,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197",
60835.08998,5.55,9,14,45574.74166,929247,"USNS Brown
FPO AP 85833",
64490.65027,4.21,1,2,40358.96011,718887,"95198 Ortiz Key
Port Sara, TN 24541-2855",
60697.35154,6.17,13,12,28140.96709,743999,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804",
59748.85549,5.33,6,18,27809.98654,895737,"24282 Paul Valley
West Perry, MI 03169-5806",
56974.47654,8.28,8,19,40694.86951,145397,"61938 Brady Falls
Lewisfort, DE 61227",
82173.62608,4.01,11,6,38853.91807,112569,"3599 Ramirez Springs
Jacksonhaven, AZ 72798",
64626.88098,5.44,15,10,27784.74228,975429,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814",
90499.05745,6.38,12,6,33970.16499,124076,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365",
59323.7921,6.97,2,9,37520.65773,157701,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832",
77811.52203,5.31,8,15,33754.7378,124683,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224",
68652.60921,6.12,1,2,39355.62573,117072,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",
55041.35158,7.12,6,2,30122.47348,107127,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041",
50218.70846,6.11,2,8,16810.78331,534305,"039 Jordan Pike
Emilyville, ID 27442",
55909.3223,5.41,19,2,22355.23541,936368,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766",
74372.81021,5.5,1,4,39395.15118,119919,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811",
78667.9046,5.47,7,10,27637.65655,123322,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585",
78699.5151,5.65,2,7,22836.60757,108115,"7585 Lynn Loop
East Judy, WV 73336",
53128.18545,5.18,17,7,32947.71196,524712,"Unit 1388 Box 9350
DPO AP 70848",
17796.63119,4.94,2,7,47162.18364,302355,"9932 Eric Circles
Lake Martha, WY 34611-6127",
